strategies,memory,threshold,distribution,choice,crosses,std
26,8,6000.0,uniform,mse,False,1717.8442351971264
8,3,6000.0,uniform,choice,False,1543.9659094682108
18,7,6000.0,uniform,mse,False,1739.820892046075
44,7,6000.0,uniform,mse,False,3721.9415146399065
30,4,6000.0,uniform,choice,False,3366.3711545817405
35,7,6000.0,uniform,mse,False,2635.458557518976
52,10,6000.0,uniform,mse,False,1745.0058388440998
55,12,6000.0,uniform,mse,False,1906.52757913438
31,8,6000.0,uniform,mse,False,1818.0660828473756
56,12,6000.0,uniform,mse,False,1750.9935338544228
41,7,6000.0,uniform,mse,False,3488.7737350536217
7,6,6000.0,uniform,mse,False,158.31431520870117
51,3,6000.0,uniform,choice,False,3175.8596709552517
60,8,6000.0,uniform,mse,False,1903.9415773599776
38,7,6000.0,uniform,mse,False,2637.6306019607823
12,6,6000.0,uniform,mse,False,2130.37938602494
36,4,6000.0,uniform,choice,False,3391.163649781591
48,7,6000.0,uniform,mse,False,3609.1196589196097
60,4,6000.0,uniform,choice,False,3503.5762195790744
53,5,6000.0,uniform,choice,False,3383.582092457637
27,8,6000.0,uniform,mse,False,1867.6781145582875
19,7,6000.0,uniform,mse,False,1830.4626851154328
32,8,6000.0,uniform,mse,False,2386.470177395896
54,13,6000.0,uniform,mse,False,1553.737481043693
45,7,6000.0,uniform,mse,False,2648.900144890328
40,4,6000.0,uniform,choice,False,3425.500161085969
57,12,6000.0,uniform,mse,False,1243.3308047338005
28,9,6000.0,uniform,mse,False,1481.8039011961064
55,6,6000.0,uniform,choice,False,3681.3787200449774
8,6,6000.0,uniform,mse,False,403.1020342295484
27,4,6000.0,uniform,choice,False,3322.834595281565
42,7,6000.0,uniform,mse,False,2656.5949999200107
15,3,6000.0,uniform,choice,False,2618.5345519965936
53,10,6000.0,uniform,mse,False,1941.4086029478701
58,9,6000.0,uniform,mse,False,2224.597931851956
13,6,6000.0,uniform,mse,False,1442.6137557918958
9,3,6000.0,uniform,choice,False,2613.8114747624777
39,7,6000.0,uniform,mse,False,2811.5801949081942
33,4,6000.0,uniform,choice,False,3363.7724536597298
44,4,6000.0,uniform,choice,False,3442.307226265546
57,6,6000.0,uniform,choice,False,3676.8271918054566
49,7,6000.0,uniform,mse,False,3603.413083452964
20,7,6000.0,uniform,mse,False,1973.118643062297
18,4,6000.0,uniform,choice,False,3175.652929713825
24,9,6000.0,uniform,mse,False,1362.5714426774105
55,13,6000.0,uniform,mse,False,1710.7448501749172
33,8,6000.0,uniform,mse,False,2952.2079531089944
56,13,6000.0,uniform,mse,False,1687.2089378615797
2,4,6000.0,uniform,choice,False,0.0
46,7,6000.0,uniform,mse,False,3232.441848262703
9,6,6000.0,uniform,mse,False,741.4612103137965
29,9,6000.0,uniform,mse,False,1426.093999847135
31,4,6000.0,uniform,choice,False,3366.6524839371227
43,7,6000.0,uniform,mse,False,2796.6851822112553
